search_category,time,tweet_text
sun,2019-06-21 04:27:36,unwary travellers.
sun,2019-06-21 04:27:38,RT @ArkhamHQ16: Not the best day when you try to order your birthday cake and they tell you that you can't have a picture on it due to copy…
rain,2019-06-21 04:27:40,"Best line of the #QueensDA race, and this is not an endorsement: ""This sounds like a classic plea deal.” -@GregLasak"
rain,2019-06-21 04:27:42,RT @ThunderChats: LENGTH!
rain,2019-06-21 04:27:44,@SenKamalaHarris Grow up. Get used to paybacks. CA sucks thanks to you and your party other than weather and wine.
sun,2019-06-21 04:27:46,"Is that message ""Kill Me Now"" ?"
sun,2019-06-21 04:27:48,"RT @OH_mes2: Red Velvet will perform ""Zimzalabim"" and ""Sunny Side Up!"" on tonight's Music Bank episode"
sun,2019-06-21 04:27:50,RT @shxxbae131_: Yeol in this kdrama was suspended at school that's why Yeon-du is doing her best to look for proof that would clear Yeol's…
sun,2019-06-21 04:27:52,RT @Vliveofficial: 6/23 (Sun) 7:00 p.m. (KST) BTS 5TH MUSTER 'MAGIC SHOP' Live Streaming in SEOUL! How to watch MULTI VIEW at VLIVE! See th…
rain,2019-06-21 04:27:54,This rain can squeeze off
rain,2019-06-21 04:27:56,"Make it rain now make it rain, make it rain now make it"
sun,2019-06-21 04:27:58,RT @ManCityUS: Messed around and decided to do... 
sun,2019-06-21 04:28:00,"RT @LSquirtles: 💦🌊 Wetter than the ocean, hotter than the sun 🔥🌟"
rain,2019-06-21 04:28:02,"RT @Livestormchaser: Check out this tornado this evening near Redwood Falls, Minnesota"
rain,2019-06-21 04:28:04,Larry O'Brien trophy to thunder fans about Sam presti https://t.co/D5IvUZWT4Q
sun,2019-06-21 04:28:06,Wishing all Followers a most blessed and joyful Midsummer Eve.. a Spirit Night  at the end of ye Longest Day ✨
sun,2019-06-21 04:28:08,RT @chanlix: this is literally how the sun goes up in the mornings  https://t.co/JzZPzGDU0v
rain,2019-06-21 04:28:10,"RT @njjoons: mono is untouchable from tokyo, seoul, moonchild, badbye, uhgood, everythingoes and forever rain. a flawless mixtape with zero…"
rain,2019-06-21 04:28:12,RT @BaynesFanClub: Great weather in Phoenix https://t.co/8akhzXE8sj
sun,2019-06-21 04:28:14,RT @RegieMaristela1: Clear skin 
rain,2019-06-21 04:28:16,@WDWCarpenter @detoursab @LOVESICKBRINA i love u 🥺❤️
rain,2019-06-21 04:28:18,I promised I’d never tell anyone but emma went and outed herself
rain,2019-06-21 04:28:20,I HATE 4 US 2 LOSE ADAMS-BURN ON OKC-BAD TRADE-JS
rain,2019-06-21 04:28:22,RT @BaynesFanClub: Great weather in Phoenix https://t.co/8akhzXE8sj
sun,2019-06-21 04:28:24,RT @tburages: How many of Trump's lawyers are possibly under investigation for obstruction of justice?
sun,2019-06-21 04:28:26,Warriors taking Bol Bol or KPJ?
rain,2019-06-21 04:28:28,"Watch ""Grateful Dead - Looks Like Rain / Althea - 10/29/80 - Radio City Music Hall (OFFICIAL)"" on YouTube… https://t.co/8JESvsUsCH"
rain,2019-06-21 04:28:30,"CYS issues Hazardous Weather Outlook (HWO) at Jun 20, 8:28 PM MDT https://t.co/3ifZ9AYejn"
